step,episode_index,episode_return,episode_length,fps,model_loss,recon_loss,reward_loss,continue_loss,kl_loss,dynamics_kl_loss,representation_kl_loss,actor_loss,value_loss,repval_loss,slowreg_loss,imagined_return,value_pred,return_norm_mean,return_norm_std,adv_norm_mean,adv_norm_std,entropy,num_updates,train_budget
200.0,0.0,178.0,200.0,185.63877860838545,,,,,,,,,,,,,,,,,,,,
400.0,0.0,354.0,400.0,152.7193192139494,,,,,,,,,,,,,,,,,,,,
500.0,0.0,451.0,500.0,141.3290246268025,,,,,,,,,,,,,,,,,,,,
600.0,1.0,74.0,100.0,134.74653087902246,,,,,,,,,,,,,,,,,,,,
800.0,1.0,240.0,300.0,138.03978459916442,,,,,,,,,,,,,,,,,,,,
1000.0,1.0,408.0,500.0,134.90133891614147,7.423410892486572,0.07685159146785736,5.54052734375,0.7060321569442749,1.0,1.0,1.0,-0.032349005341529846,7.216271877288818,5.554134368896484,0.0,-0.01655963435769081,-0.016344372183084488,-0.01655963435769081,0.009995619879326423,-0.037685271352529526,0.012105762515822694,2.8378756046295166,1.0,0.0
1200.0,2.0,0.0,200.0,27.620080404234105,2.1771836280822754,0.0016673598438501358,1.0751893520355225,0.00032691130763851106,1.0,1.0,1.0,-6.060339450836182,3.2808544635772705,3.124210834503174,0.9348708987236023,11.605324745178223,8.398382186889648,7.714553611904133,1.9148572238636052,2.782609922418943,2.068047359244833,2.837078809738159,1.0,0.0
1400.0,2.0,0.0,400.0,17.285544095085033,1.808967113494873,0.0011078051757067442,0.7076923847198486,0.00016706546011846513,1.0,1.0,1.0,29.85456657409668,4.020523548126221,3.751716136932373,0.03395579755306244,13.702914237976074,14.011518478393555,13.521803046526616,1.1970601300497565,1.4014947212552353,1.3091816511821914,2.837824583053589,1.0,0.0
1500.0,2.0,0.0,500.0,14.715183428447473,1.9480187892913818,0.0010384933557361364,0.8468122482299805,0.00016811559908092022,1.0,1.0,1.0,-0.26071643829345703,3.567849636077881,3.6876449584960938,0.007935860194265842,13.401033401489258,13.742785453796387,13.538217368471075,0.8981351164625698,0.42631447083226576,0.946508080494607,2.837874412536621,1.0,0.0
1600.0,3.0,0.0,100.0,12.98808063025466,1.8026432991027832,0.0010143301915377378,0.7011046409606934,0.000524409580975771,1.0,1.0,1.0,-0.31309613585472107,3.565260171890259,3.3750853538513184,0.028317764401435852,13.115222930908203,13.154256820678711,13.311611253302518,0.7303361380398924,0.013108484761628013,0.7210934007287956,2.8378746509552,1.0,0.0
1800.0,3.0,0.0,300.0,11.107447655764782,1.7145557403564453,0.0008501328993588686,0.6135584712028503,0.00014710173127241433,1.0,1.0,1.0,-0.013970622792840004,3.149257183074951,3.0931694507598877,0.049752235412597656,11.89870548248291,12.191978454589844,12.419614180328068,0.5836686210912847,-0.11799006554640087,0.46694507426429444,2.8378748893737793,1.0,0.0
2000.0,3.0,0.0,500.0,9.949417981011626,2.4138548374176025,0.0010198127711191773,0.9525431394577026,0.00011344985250616446,1.32743501663208,1.32743501663208,1.32743501663208,-10.645524024963379,2.8133225440979004,3.8892288208007812,0.16615509986877441,16.23711585998535,15.764952659606934,13.223919749628664,0.6356854437818561,0.20638260399359365,0.5244705292416579,2.837857246398926,1.0,0.0
2200.0,4.0,0.0,200.0,9.162129649617917,1.5888960361480713,0.0009037497220560908,0.48796510696411133,2.7156140276929364e-05,1.0,1.0,1.0,11.189642906188965,4.228025913238525,3.7715911865234375,0.46183478832244873,16.163419723510742,16.48778533935547,16.425149843368263,0.43693306240741864,-0.1476459361336001,0.4220333530463413,2.837857246398926,1.0,0.0
2400.0,4.0,0.0,400.0,8.583586147879883,1.6370718479156494,0.000774322310462594,0.5362820029258728,1.56053138198331e-05,1.0,1.0,1.0,7.811014652252197,2.749171733856201,3.136098623275757,0.09939113259315491,12.447015762329102,13.034340858459473,14.168199013026715,0.4244309763932691,-0.4689680275562114,0.45009618061951456,2.8378653526306152,1.0,0.0
2500.0,4.0,0.0,500.0,8.314387306978828,1.6307082176208496,0.0008158524287864566,0.5298119187355042,8.04656301625073e-05,1.0,1.0,1.0,3.401972532272339,2.438392162322998,2.777700901031494,0.01840997114777565,10.715373039245605,11.274955749511719,12.462050326588766,0.3833790159126233,-0.5279939540499249,0.4157433099824398,2.837867259979248,1.0,0.0
2600.0,5.0,0.0,100.0,8.105995129835167,1.4233734607696533,0.0007779109291732311,0.32223594188690186,0.00035967680742032826,1.0,1.0,1.0,-4.383408546447754,2.1341803073883057,2.340468406677246,0.03724883869290352,8.736382484436035,9.164255142211914,10.621446252391518,0.34842484703593807,-0.5208679399017847,0.3889874430480901,2.83786940574646,1.0,0.0
2800.0,5.0,0.0,300.0,7.81399727672071,1.5980055332183838,0.0008110349299386144,0.49714195728302,5.258822056930512e-05,1.0,1.0,1.0,-2.2532453536987305,1.7877472639083862,2.399099111557007,0.01358482800424099,4.728168964385986,5.077284812927246,6.727987596372115,0.288720093959885,-0.413723843918662,0.3548956806122084,2.837869882583618,1.0,0.0
3000.0,5.0,0.0,500.0,7.57284639132698,1.8635549545288086,0.0008890170138329268,0.7626239657402039,4.195298606646247e-05,1.0,1.0,1.0,2.6751115322113037,1.5377545356750488,2.4279580116271973,0.014556201174855232,0.730496883392334,0.9979519248008728,2.7490943860841,0.29080026831244044,-0.2609195029384494,0.3421972221819616,2.83786940574646,1.0,0.0
3200.0,6.0,0.0,200.0,7.377777282082038,1.4975892305374146,0.0006425530882552266,0.3968895673751831,5.7117253163596615e-05,1.0,1.0,1.0,-27.558818817138672,2.9722321033477783,2.6228930950164795,5.8791279792785645,7.03949499130249,5.014662742614746,1.3279381880236198,1.086914635222374,0.6074994667698073,1.3503561649970515,2.83787202835083,1.0,0.0
3400.0,6.0,0.0,400.0,7.218205080384146,1.6672513484954834,0.0007961496012285352,0.5663272738456726,0.00012807636812794954,1.0,1.0,1.0,4.884486198425293,2.664186716079712,3.3450727462768555,0.7239561676979065,16.769224166870117,15.973479270935059,12.189564362878375,1.7395104184086296,1.4185814666083132,2.4486903445626096,2.837568998336792,1.0,0.0
3500.0,6.0,0.0,500.0,7.115635886113532,1.468446969985962,0.0007319097057916224,0.36767733097076416,3.768072201637551e-05,1.0,1.0,1.0,-1.4707732200622559,2.9824917316436768,3.5092101097106934,0.617283284664154,21.222026824951172,20.212024688720703,16.779097735944458,1.7964117322730853,1.0231217882078463,1.9142469744392183,2.8376893997192383,1.0,0.0
3600.0,7.0,0.0,100.0,7.020216022618286,1.4166843891143799,0.0006426519248634577,0.3159448206424713,9.706590208224952e-05,1.0,1.0,1.0,8.0615816116333,2.918029546737671,2.779592990875244,0.1043195053935051,23.081558227539062,22.954702377319336,20.17562655407559,1.7976467159820262,0.6285458118059915,1.4422049070330842,2.837742328643799,1.0,0.0
3800.0,7.0,0.0,300.0,6.9009020074590035,1.6350548267364502,0.000662120757624507,0.5343048572540283,8.78171413205564e-05,1.0,1.0,1.0,1.692074179649353,3.0171968936920166,2.8212904930114746,0.015315509401261806,24.161184310913086,23.999849319458008,23.08481737330412,1.7353999339856705,0.26972547260292956,1.1499179793447498,2.8377904891967773,1.0,0.0
4000.0,7.0,0.0,500.0,6.782588367431142,1.373152732849121,0.0007354641566053033,0.2721843123435974,0.00023299035092350096,1.0,1.0,1.0,-8.466058731079102,2.8937008380889893,2.545562267303467,0.05786348134279251,22.36795425415039,22.08864402770996,22.683538214922915,1.7864593154847224,-0.044922530154710864,0.9659239391001917,2.8378138542175293,1.0,0.0
4200.0,8.0,196.0,200.0,6.686831797564192,1.7991206645965576,0.0007970619481056929,0.5923790335655212,2.1873143850825727e-05,1.0962932109832764,1.0962932109832764,1.0962932109832764,-14.303694725036621,2.8561387062072754,2.6381077766418457,0.21699340641498566,23.792327880859375,23.10647964477539,21.983851506664976,2.628022987765569,0.16424120856058663,1.0201398556499621,2.8378186225891113,1.0,0.0
4400.0,8.0,396.0,400.0,6.597619304283658,1.7814905643463135,0.0006622264627367258,0.6806829571723938,0.00014527328312397003,1.0,1.0,1.0,11.494718551635742,2.6797635555267334,2.6200342178344727,0.23341116309165955,24.96199607849121,25.17343521118164,23.74076716333223,2.7762927492569363,0.2992384820919261,1.0164427981556738,2.8378195762634277,1.0,0.0
4500.0,8.0,496.0,500.0,6.54437324949252,1.7774940729141235,0.0008030893513932824,0.6765642166137695,0.00012675081961788237,1.0,1.0,1.0,-0.16424208879470825,2.2698702812194824,2.6950645446777344,0.13863778114318848,28.57918930053711,28.213546752929688,26.16253329503925,2.797155479729107,0.41156619685927553,1.0259142382358273,2.8378210067749023,1.0,0.0
4600.0,9.0,0.0,100.0,6.490487587793063,2.026672601699829,0.0007064012461341918,0.9259322285652161,3.403152004466392e-05,1.0,1.0,1.0,-11.159558296203613,2.672746181488037,3.042381763458252,0.08191277086734772,31.751108169555664,30.8928165435791,29.024619702784808,2.74937243657135,0.3800869204159495,1.0347585603706564,2.837824583053589,1.0,0.0
4800.0,9.0,0.0,300.0,6.420917584249889,1.551734447479248,0.0006320730317384005,0.45109066367149353,1.161079308076296e-05,1.0,1.0,1.0,-3.922912359237671,2.1478118896484375,2.544779062271118,0.016002720221877098,35.5120849609375,35.140960693359375,33.21869448516018,2.62999232012502,0.2724006569047833,0.9454481368399118,2.837834358215332,1.0,0.0
5000.0,9.0,0.0,500.0,6.3571165924923845,1.6877284049987793,0.0005202412139624357,0.5870068669319153,0.00020123794092796743,1.0,1.0,1.0,-5.378871440887451,2.455625057220459,2.5800728797912598,0.44014954566955566,34.39244842529297,34.23723220825195,34.99585761061385,2.980442590809218,-0.09951587486930422,1.0979091666338032,2.837843179702759,1.0,0.0
5200.0,10.0,0.0,200.0,6.2677620418308875,1.7803866863250732,0.0006895708502270281,0.6796699166297913,2.7182366466149688e-05,1.0,1.0,1.0,7.904065132141113,2.4738247394561768,3.0672545433044434,0.09487766027450562,31.177696228027344,31.60799789428711,33.01418933538312,2.6847834206979355,-0.10987586452412934,0.9453104758786169,2.837843179702759,1.0,0.0
5400.0,10.0,0.0,400.0,6.215826715489463,1.6948423385620117,0.000862074492033571,0.5045920610427856,6.164831575006247e-05,1.08120596408844,1.08120596408844,1.08120596408844,-5.800747871398926,2.1055352687835693,2.197707176208496,0.0061621274799108505,27.368175506591797,27.329755783081055,28.96808153549131,2.8761021464251177,-0.21238610922852044,0.9851569878718255,2.8378469944000244,1.0,0.0
5500.0,10.0,0.0,500.0,6.179557133342465,1.5149438381195068,0.0005854557966813445,0.414207398891449,0.00015095635899342597,1.0,1.0,1.0,-4.279343605041504,1.7637568712234497,2.259772300720215,0.04237125441431999,24.302831649780273,24.325929641723633,26.460664967181735,2.8037031393376957,-0.21114180380423692,0.9720882165855647,2.8378474712371826,1.0,0.0
5600.0,11.0,0.0,100.0,6.145482550511078,1.533474326133728,0.0006059809238649905,0.4324681758880615,0.0004001628840342164,1.0,1.0,1.0,-1.886325716972351,1.8002221584320068,1.9896388053894043,0.015878017991781235,21.88496971130371,21.983070373535156,24.226027635879216,2.9163121477107845,-0.17665003605010793,0.9964589870356187,2.8378477096557617,1.0,0.0
5800.0,11.0,0.0,300.0,6.1011078073351825,1.5262000560760498,0.00067645322997123,0.4255114197731018,1.2111704563722014e-05,1.0,1.0,1.0,-2.4639835357666016,1.6634992361068726,1.7931468486785889,0.03144008293747902,18.1946964263916,18.197351455688477,19.842543484430077,3.2874598141125206,-0.11874440838835483,1.0380504188625126,2.837847948074341,1.0,0.0
6000.0,11.0,0.0,500.0,6.057945098813851,1.5523200035095215,0.0006184288649819791,0.4516236186027527,7.789153460180387e-05,1.0,1.0,1.0,-2.4096286296844482,1.8484145402908325,1.9067811965942383,0.12926247715950012,15.266518592834473,15.261369705200195,15.493566376576327,3.5307561490105113,-0.0860452381904227,1.1547217442837374,2.8378496170043945,1.0,0.0
6200.0,12.0,0.0,200.0,6.0165509658169825,1.4780290126800537,0.0005869626766070724,0.37742525339126587,1.682452239037957e-05,1.0,1.0,1.0,-3.264431953430176,1.5582391023635864,1.678027868270874,0.08539284765720367,11.218335151672363,11.12979793548584,12.173281140320164,3.3833607246437123,-0.04425033240344185,1.2312815459508335,2.837847948074341,1.0,0.0
6400.0,12.0,0.0,400.0,5.9805875060031015,1.738431453704834,0.0005290402914397418,0.6378461122512817,5.6372093240497634e-05,1.0,1.0,1.0,-5.747731685638428,1.9630413055419922,2.1247453689575195,0.03673635050654411,10.312350273132324,10.041828155517578,10.604389251800546,2.8551393673424093,0.01873525215030184,1.1523000723629861,2.837846040725708,1.0,0.0
6500.0,12.0,0.0,500.0,5.955335919460967,1.5642448663711548,0.000710227177478373,0.46347224712371826,6.241546361707151e-05,1.0,1.0,1.0,-5.945290565490723,1.92759370803833,1.911482572555542,0.059852614998817444,11.571478843688965,11.272065162658691,10.59320912392538,2.8409570580817705,0.04280006124217733,1.156411231727072,2.8378474712371826,1.0,0.0
6600.0,13.0,0.0,100.0,5.9337356538816906,1.8385344743728638,0.0007629608735442162,0.7376856803894043,8.585266186855733e-05,1.0,1.0,1.0,-0.9492576718330383,2.113269805908203,2.3362951278686523,0.12539049983024597,11.51904296875,11.454798698425293,10.922886959143515,2.782210941466074,0.0639873129539574,1.1665343699778072,2.83784556388855,1.0,0.0
6800.0,13.0,0.0,300.0,5.901026433224091,1.4511950016021729,0.0005985330790281296,0.35049939155578613,9.706063428893685e-05,1.0,1.0,1.0,-5.897155284881592,1.6184678077697754,1.699402928352356,0.036036036908626556,12.693148612976074,12.403295516967773,11.646370922642538,2.6429025471525867,-0.010347796525322958,1.187004942360326,2.8378496170043945,1.0,0.0
7000.0,13.0,0.0,500.0,5.876941820510286,1.5586117506027222,0.0007337940623983741,0.45779573917388916,8.223646727856249e-05,1.0,1.0,1.0,0.9426560997962952,1.7195111513137817,1.8742387294769287,0.023835549131035805,12.450634956359863,12.556405067443848,12.003817741148827,2.6887005704965383,-0.04503462223693833,1.3655723565686766,2.837848663330078,1.0,0.0
7200.0,14.0,0.0,200.0,5.857566425885502,1.5203640460968018,0.0005395108019001782,0.4194847643375397,0.0003398409462533891,1.0,1.0,1.0,2.720337390899658,1.5871609449386597,1.6967601776123047,0.4503635764122009,12.007319450378418,12.277978897094727,12.11133638741486,3.0131120069041653,-0.08148158894056712,1.5791150071632805,2.837848663330078,1.0,0.0
7400.0,14.0,0.0,400.0,5.83474405813841,1.6305832862854004,0.0005602481542155147,0.5300132036209106,9.766394214238971e-06,1.0,1.0,1.0,0.9301334023475647,1.7011533975601196,1.9743785858154297,0.029714565724134445,11.457324981689453,11.669116973876953,11.11684584043504,2.842374086760332,-0.14456429846321106,1.8575552816003666,2.8378496170043945,1.0,0.0
7500.0,14.0,0.0,500.0,5.8170104082860945,1.209233283996582,0.0005542528815567493,0.10846076160669327,0.00021829796605743468,1.0,1.0,1.0,1.0159130096435547,1.213869571685791,1.0434281826019287,0.027204979211091995,9.548417091369629,9.777669906616211,10.357773080918058,2.6428243612786284,-0.16634393269728662,2.052843750632438,2.8378469944000244,1.0,0.0
7600.0,15.0,100.0,100.0,5.800293168625836,1.2687500715255737,0.0005514082731679082,0.16795536875724792,0.00024328447761945426,1.0,1.0,1.0,1.0887925624847412,1.4130676984786987,1.3845186233520508,0.21685367822647095,8.803611755371094,9.049551010131836,9.711508292386002,2.4767603158091553,-0.12504927495876456,2.084582078668144,2.837843418121338,1.0,0.0
7800.0,15.0,300.0,300.0,5.78174076817934,1.6229954957962036,0.0006189850391820073,0.494437575340271,5.162520392332226e-05,1.025352120399475,1.025352120399475,1.025352120399475,-1.9720078706741333,1.9853930473327637,2.4753305912017822,0.06555136293172836,11.940146446228027,11.803641319274902,10.038692106918903,2.3821554645680916,-0.053285630782325816,2.7218979056588273,2.8378429412841797,1.0,0.0
