step,episode_index,episode_return,episode_length,fps,model_loss,recon_loss,reward_loss,continue_loss,kl_loss,dynamics_kl_loss,representation_kl_loss,actor_loss,value_loss,repval_loss,slowreg_loss,imagined_return,value_pred,return_norm_mean,return_norm_std,adv_norm_mean,adv_norm_std,entropy,num_updates,train_budget
200.0,0.0,87.0,200.0,116.8712322278183,,,,,,,,,,,,,,,,,,,,
400.0,0.0,287.0,400.0,100.00780881819438,,,,,,,,,,,,,,,,,,,,
500.0,0.0,387.0,500.0,94.86988793769531,,,,,,,,,,,,,,,,,,,,
600.0,1.0,3.0,100.0,91.72424378087892,,,,,,,,,,,,,,,,,,,,
800.0,1.0,28.0,300.0,93.31280296410195,,,,,,,,,,,,,,,,,,,,
1000.0,1.0,47.0,500.0,91.47480413837438,7.425136566162109,0.07743918895721436,5.556188106536865,0.691509485244751,1.0,1.0,1.0,0.05629398673772812,7.202194690704346,5.520206928253174,0.0,0.03840431943535805,0.038167599588632584,0.03840431943535805,0.011897611472703847,0.05834970623254776,0.013739960767893014,2.8378756046295166,1.0,0.0
1200.0,2.0,17.0,200.0,19.05854116547967,1.9984145164489746,0.002067985711619258,0.8959082365036011,0.0004382524057291448,1.0,1.0,1.0,6.452327728271484,2.898503303527832,3.065062999725342,0.5769832134246826,6.283757209777832,5.97585916519165,3.978748388638158,0.8299433868934771,0.8709381539915518,0.8999451806165687,2.8378756046295166,1.0,0.0
1400.0,2.0,41.0,400.0,12.15229209234513,1.8924827575683594,0.001245032763108611,0.7909572124481201,0.0002805425610858947,1.0,1.0,1.0,2.337569236755371,2.360753297805786,3.0448660850524902,0.14323736727237701,14.22110652923584,13.649209976196289,10.879877811880757,0.6126173459459717,0.7899742389196295,0.7430320159908772,2.837876081466675,1.0,0.0
1500.0,2.0,70.0,500.0,10.380810507508267,1.7296134233474731,0.0011255154386162758,0.6282169818878174,0.0002709259570110589,1.0,1.0,1.0,-1.3144112825393677,2.908703327178955,3.430798053741455,0.04991878569126129,17.04155921936035,16.41632080078125,14.071800502611714,0.4789776830037337,0.5902174936531583,0.6003969108865707,2.837876081466675,1.0,0.0
1600.0,3.0,22.0,100.0,9.22055915961574,1.965552806854248,0.0011131651699543,0.864136815071106,0.0003028524515684694,1.0,1.0,1.0,3.868849754333496,2.5210506916046143,3.9345903396606445,0.009501021355390549,18.439990997314453,18.188547134399414,16.47536866822259,0.35131857498780195,0.4304826883018864,0.44124992544645864,2.8378748893737793,1.0,0.0
1800.0,3.0,63.0,300.0,7.99802083989385,2.023533821105957,0.0010937078623101115,0.9211375713348389,8.96920682862401e-05,1.0011024475097656,1.0011024475097656,1.0011024475097656,8.02563190460205,3.4706294536590576,4.305956840515137,0.014803903177380562,20.068805694580078,20.0432186126709,19.40747995225081,0.17796546718158351,0.1922365180899512,0.2226192239935461,2.8242509365081787,1.0,0.0
2000.0,3.0,106.0,500.0,7.254144154625753,1.9648915529251099,0.0010631089098751545,0.8636863231658936,0.0001421970664523542,1.0,1.0,1.0,-24.608421325683594,4.289824962615967,4.292046070098877,0.0026435814797878265,20.84728240966797,20.38945198059082,20.20258679532342,0.1957425593216792,0.06742845894330934,0.20539356528926594,2.836759567260742,1.0,0.0
